der el
transportiert transportado
innenraum interior
kennedy kennedy
karin karin
händler distribuidor
händler distribuidores
beförderung transporte
mönchengladbach mönchengladbach
durchschnitt promedio
durchschnitt media
singen cantar
camp campamento
minden minden
campbell campbell
mind mind
beine piernas
anführer lider
anführer líder
techniken técnicas
asteroiden asteroides
franco franco
überprüfung verificación
überprüfung revisión
böden suelos
option opción
stade stade
lukas lucas
morgan morgan
bühnen escenarios
porsche porsche
beurteilung valoración
beurteilung evaluación
flecken manchas
äußerte expresó
japanisch japonés
sat sat
fliehen escapar
fliehen huir
stoffe telas
stoffe sustancias
château château
fraglich dudoso
fraglich cuestionable
steven steven
parker parker
empfangen recibidas
empfangen recibido
empfangen recibidos
verkehren corrido
verkehren circular
diff diff
pflicht deber
pflicht obligación
talent talento
fire fire
türkisch turco
nummern números
passagiere pasajeros
wusste sabía
theologische teológica
hanns hanns
thompson thompson
konstantinopel constantinopla
henriette henriette
four four
dichtung poesía
dichtung sello
dichtung junta
theoretisch teóricamente
theoretisch teoría
robinson robinson
decken techos
decken mantas
hop hop
legend legend
wünsche deseo
wünsche deseos
dennis dennis
nachbarn vecinos
ernährung dieta
ernährung nutrición
bologna bolonia
vergleichen comparar
björn björn
gestrichen eliminado
gestrichen suprimido
kolumbien colombia
tafel pizarra
verabschiedet adoptado
verabschiedet aprobada
download descargar
dublin dublín
gabriele gabriele
planck planck
anerkannte reconocido
anerkannte reconocida
springen saltar
interessierte interesados
interessierte interesado
aktivität actividad
luigi luigi
annehmen aceptar
gedruckt impreso
gedruckt impresos
abteilungen departamentos
abteilungen divisiones
störungen desórdenes
ken ken
louisiana luisiana
erläutert explicado
nachweisbar detectable
nachweisbar demostrable
taiwan taiwán
kritischen crítico
sturz caída
amazon amazon
teilgenommen participado
teilgenommen participó
befestigt sujeta
administrative administrativo
shakespeare shakespeare
auseinander aparte
löscht borrar
löscht borra
stadtmauer murallas
beantwortet contestado
labor laboratorio
samstag sábado
samstag sabado
lehmann lehmann
classic classic
med med
student estudiante
schwäbisch schwäbisch
berühmt famoso
berühmt famosos
restaurierung restauración
garden garden
geehrt honrado
jonas jonas
umzug mudanza
ski esquí
weichen suave
gezielt apuntado
held héroe
erhöhung elevación
erhöhung aumento
rückte avanzó
wüste desierto
adolph adolph
meldete informó
meldete notificó
polizisten policías
mhz mhz
uci uci
carter carter
princeton princeton
latein latín
tschechische checo
fortgesetzt continuado
politisches política
atlanta atlanta
kalten fría
sammelte recogió
hip hip
antwerpen amberes
kaiserslautern kaiserslautern
bks bks
invasion invasión
muhammad muhammad
northern northern
julian julian
nil nilo
alternativen alternativas
altenburg altenburg
abc abc
schaffung creación
kiew kiev
hard hard
faust puño
faust fausto
vita vita
evans evans
interessante interesante
interessante interesantes
holding holding
ausserdem además
apple apple
schlage golpeo
schwanz polla
fisch pescado
thron trono
rapper rapero
ozean océano
konservatorium conservatorio
untergrund subsuelo
redundanz redundancia
senior senior
nachkriegszeit posguerra
cooper cooper
rechner calculadora
ulmer ulmer
schubert schubert
brigitte brigitte
barry barry
neuauflage reedición
other other
wahre verdadera
wahre verdadero
patent patente
unterfamilie subfamilia
knochen huesos
ack ack
veb veb
posen poses
rechtlich legalmente
rechtlich jurídicamente
wenzel wenzel
pionier pionero
type type
blütezeit floración
metz metz
harold harold
brothers brothers
tests pruebas
ausgehen salir
lebenslauf curriculum
lebenslauf cv
lebenslauf currículum
staffeln escuadrones
alkohol alcohol
gene gene
gene genes
trasse surco
silva silva
bemerkenswert notable
produzieren producir
ehre honor
vorwort prefacio
vorwort prólogo
tropischen tropical
tropischen tropicales
miami miami
shanghai shanghái
vertretung representación
fauna fauna
abriss demolición
protokoll protocolo
athleten atletas
lahn lahn
teilnehmern participantes
baker baker
wendet aplica
reederei armador
ethnischen étnico
ethnischen etnia
konzipiert diseñado
udo udo
steuerung control
vortrag conferencia
vortrag charla
prinzipien principios
dienstleistungen servicios
subsp subsp
hansen hansen
catherine catherine
standorte localizaciones
standorte ubicaciones
philologe filólogo
aufteilung reparto
erwachsene adultos
werfen lanzar
werfen tirar
erfunden inventado
philosophen filósofo
philosophen filósofos
dicke espesor
dicke grosor
irischen irlandés
dictionary dictionary
vielfalt diversidad
vielfalt variedad
wettbewerbe concursos
heiraten boda
murray murray
archäologe arqueólogo
austin austin
stellungnahme observaciones
zelle celda
zelle célula
wälder bosques
schließung clausura
schließung cierre
ausgelöst desencadenado
indian indian
maßnahme medida
echo eco
echo echo
kunsthalle kunsthalle
grundlegende básico
rüdiger rüdiger
professoren profesores
geschmack sabor
geschmack gustos
geschmack gusto
porto oporto
konzentration concentración
interviews entrevistas
ansprüche reclamos
ansprüche reclamaciones
wiedervereinigung reunificación
kabel cables
kabel cable
have have
keramik cerámica
bismarck bismarck
monika monika
flensburg flensburg
pakistan pakistán
grant grant
angemeldet registrado
angemeldet conectado
brasilianischen brasileños
löwe león
gerechtfertigt justificado
zerstörten destruyeron
pädagogik pedagogía
melodie melodía
canadian canadian
beratung asesoramiento
african african
boeing boeing
beschäftigung empleo
externe externo
externe externa
orientierung orientación
prinzen príncipes
prinzen príncipe
mängel defectos
mängel deficiencias
portrait retrato
challenge challenge
werten valores
salvador salvador
saarland sarre
dakota dakota
untergang caida
untergang ruina
rache venganza
dutzend docenas
dutzend docena
egon egon
utrecht utrecht
kategorisierung categorización
südwest sudoeste
südwest suroeste
vorwürfe acusaciones
tiger tigre
päpstlichen papal
finanziell financieramente
beamter funcionario
tiroler tirolés
allgemeines generalidades
lichtenberg lichtenberg
wang wang
liverpool liverpool
ringer luchador
identifiziert identificado
identifiziert identifica
behauptungen alegaciones
behauptungen afirmaciones
gerecht justas
gerecht justa
gerecht justo
gerecht justos
roll roll
broadway broadway
zerstörte destruyó
materie materia
jason jason
alaska alaska
lies lee
soul soul
vermitteln impartir
matthew matthew
plant planea
dunkle oscuro
floh pulga
helene helene
relief relieve
vogt vogt
angela angela
angela ángela
source source
syn syn
ruprecht ruprecht
soviel tanto
religionen religiones
mitwirkung participación
romanische románica
freigegeben liberados
freigegeben liberado
head head
leonard leonard
disney disney
helm casco
orientierte orientado
orientierte orientada
offenbach offenbach
sky sky
köhler köhler
externen externos
externen externo
vision visión
vision vision
auswertung evaluación
jorge jorge
kilogramm kilogramo
kilogramm kilogramos
messung medición
bassist bajista
schwert espada
elsass alsacia
schlagen golpear
schlagen batir
phoenix phoenix
nature nature
eisenach eisenach
gewerkschaft sindicato
touristen turistas
geschwister hermanos
oregon oregón
christina christina
normen normas
ansässig residente
agentur agencia
iwan iván
age age
blüte floración
blüte flor
zweitens segundo
punk punk
ausländische extranjeros
dell dell
joan joan
bremerhaven bremerhaven
tabellen tablas
überprüft verificado
überprüft comprobado
überprüft revisado
wls wls
wahlperiode legislatura
einladung invitación
einladung invitaciones
legislaturperiode legislatura
slowenien eslovenia
disziplinen disciplinas
gesungen cantado
jerry jerry
türken turcos
hawaii hawai
zeitweilig temporalmente
jules jules
jährlichen anual
akademische académico
akademische académica
gelehrten erudito
gelehrten eruditos
mine mina
fachhochschule fachhochschule
überleben supervivencia
gelassen dejada
gelassen dejado
école école
stimmung humor
stimmung ánimo
benötigte requirió
benötigte necesitó
plante planeó
anpassung personalización
anpassung adaptación
flach plano
flach llano
entwickler desarrolladores
entwickler desarrollador
schwedisch sueco
kostenlos gratis
kostenlos libre
under under
individuen individuos
language language
anwesenheit presencia
ersteller creador
freude alegría
prototyp prototipo
rotterdam rotterdam
unterzeichnete firmó
effekte efectos
gletscher glaciares
versenkt hundido
indische indio
offs offs
erzähler narrador
operationen operaciones
haute haute
stetig constante
homburg homburg
montana montana
kontinuierlich continuo
wayne wayne
dessau dessau
erobert conquista
erobert conquistado
verwundet herido
klöster monasterios
anfänge comienzos
anfänge inicios
meier meier
soundtrack soundtrack
morris morris
gertrud gertrud
malte pintó
hitlers hitler
übergab entregó
behaart peludas
größen tamaños
größen tallas
dnb dnb
öffnung apertura
petra petra
lateinisch latín
vollständigen completo
lebensmittel alimentos
objektiv lente
geometrie geometría
bosnien bosnia
now now
zerstörer destructor
wright wright
sergei sergei
bonner bonn
wohnsitz residencia
independent independent
alpha alpha
alpha alfa
studiert estudiado
studiert estudia
berkeley berkeley
illustrationen ilustraciones
richtungen direcciones
schnee nieve
gerald gerald
angel angel
vorgeschichte prehistoria
hartmut hartmut
funk funk
herrmann herrmann
troll troll
mythos mito
schumacher schumacher
stausee embalse
tenor tenor
befehlshaber comandante
hochladen subir
commission commission
begangen cometido
ansätze acercamientos
ansätze enfoques
designer diseñadores
designer diseñador
wirft lanza
verstand mente
türen puertas
valentin valentín
begegnungen encuentros
brandt brandt
oklahoma oklahoma
gerettet rescatado
gerettet salvado
ignoriert ignorado
überwachung supervisión
überwachung vigilancia
achter octavo
chinesisch chino
gerechtigkeit justicia
bett cama
vorarlberg vorarlberg
verlangen exigir
schreibe escribe
schreibe escribir
angemessen razonable
angemessen adecuado
angemessen apropiado
ortsnamen topónimos
dynamo dinamo
drehen rotar
drehen girar
angeben especifique
angeben indicar
angeben especificar
venezuela venezuela
experiment experimento
astronom astrónomo
reinbek reinbek
nina nina
theoretische teórico
ingrid ingrid
industriellen industriales
krüger krüger
gerichtet orientado
rechtswissenschaft jurisprudencia
umwandlung transformación
umwandlung conversión
rosenberg rosenberg
chaos caos
xaver xaver
bezahlt pagado
cornelius cornelius
bobby bobby
interne interna
interne interno
interne internos
imo omi
käfer escarabajo
gem gem
weihnachten navidad
beobachtungen observaciones
laien laicos
dekan decano
ausgeliefert entregados
ausgeliefert entregado
häftlinge detenidos
häftlinge prisioneros
häftlinge presos
russen rusos
allee avenida
basilika basílica
zyklus ciclo
konzepte conceptos
ndr ndr
heiliger santo
tendenz tendencia
beibehalten mantener
beibehalten conservado
orleans orleans
österreicher austríacos
österreicher austríaco
eddie eddie
vorbereitet preparado
stürzte cayó
könnt lata
landschaften paisajes
festland continente
baltimore baltimore
kannte conocía
fotografen fotógrafos
fotografen fotógrafo
mund boca
berthold berthold
löst soluciona
löst resuelve
soziales social
xiv xiv
reformen reformas
sklaven esclavos
weinbau viticultura
individuelle individual
fair fair
scheitern fracaso
spitzen extremidades
double double
mohammed mohammed
mohammed mahoma
marktplatz mercado
arkansas arkansas
erwerben adquiera
erwerben adquirir
